Name,2018Ridership,Rank2018,Position
Prince St,"14,408",105,POINT (-73.99770200045987 40.72432866597571)
Rector St,"9,005",170,POINT (-74.01378300119742 40.707512999521775)
Rector St,"7,185",212,POINT (-74.01297456253795 40.707744756294474)
Roosevelt Island,"7,153",214,POINT (-73.95323499978866 40.75917199967108)
South Ferry /Whitehall St,"33,797",29,POINT (-74.01316895919258 40.701730507574474)
Spring St,"10,822",144,POINT (-73.99714100006673 40.72230099999366)
Spring St,"13,054",117,POINT (-74.00373899843763 40.72622700129312)
Times Sq-42 St /42 St,"204,017",1,POINT (-73.98749500051885 40.75528999995681)
Wall St,"23,968",52,POINT (-74.00909999844257 40.706820999753376)
Wall St,"19,745",70,POINT (-74.01186199860112 40.70755700086603)
West 4 St-Washington Sq,"40,666",22,POINT (-74.00030814755975 40.732254493367876)
WTC Cortland,"3,558",339,POINT (-74.01218800112292 40.7118350008202)
103 St-Corona Plaza,"19,682",71,POINT (-73.86269999830412 40.749865000555545)
104 St,"1,841",401,POINT (-73.83768300060997 40.681711001091195)
104 St,"1,587",409,POINT (-73.84443500029684 40.69516599823373)
111 St,"11,091",138,POINT (-73.85533399834884 40.75172999941711)
111 St,"2,596",381,POINT (-73.83216299845388 40.68433100001238)
111 St,"2,819",373,POINT (-73.83679338454697 40.697114810696476)
121 St,"1,354",412,POINT (-73.82834900017954 40.700481998515315)
169 St,"8,109",188,POINT (-73.79347419927721 40.710517502784)
21 St,"1,757",405,POINT (-73.9495999997552 40.7441286664954)
21 St-Queensbridge,"10,840",143,POINT (-73.94193761457447 40.75373927087553)
30 Av,"8,286",184,POINT (-73.9214790001739 40.76677866673298)
33 St-Rawson St,"11,029",141,POINT (-73.93099699953838 40.74458699983993)
36 Av,"5,073",285,POINT (-73.929861999118 40.7564420005104)
36 St,"5,177",281,POINT (-73.92901818461539 40.75196004401078)
39 Av-Dutch kills,"2,356",387,POINT (-73.93285137679598 40.75276306140845)
40 St-Lowery St,"9,954",161,POINT (-73.9240159984882 40.74378100149132)
46 St,"8,752",177,POINT (-73.91352174995538 40.756316952608096)
46 St-Bliss St,"12,828",118,POINT (-73.91843500103973 40.74313200060382)
52 St,"6,001",254,POINT (-73.91254899891254 40.744149001021576)
63 Dr-Rego Park,"15,574",92,POINT (-73.86161820097203 40.729763972422425)
